indice do pais,país,ano,métrica,emissão estimada de CO2, notas, fonte
3,North America,2015,Emissions (thousand metric tons of carbon dioxide),5540715,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2019,Emissions (thousand metric tons of carbon dioxide),5377206,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2020,Emissions (thousand metric tons of carbon dioxide),4824919,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2021,Emissions (thousand metric tons of carbon dioxide),5139680,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1975,Emissions per capita (Kilograms of carbon dioxide),20.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1985,Emissions per capita (Kilograms of carbon dioxide),18.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2005,Emissions per capita (Kilograms of carbon dioxide),19.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2010,Emissions per capita (Kilograms of carbon dioxide),17.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2015,Emissions per capita (Kilograms of carbon dioxide),15.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2019,Emissions per capita (Kilograms of carbon dioxide),14.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2020,Emissions per capita (Kilograms of carbon dioxide),12.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2021,Emissions per capita (Kilograms of carbon dioxide),13.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1975,Emissions (thousand metric tons of carbon dioxide),609407,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1985,Emissions (thousand metric tons of carbon dioxide),824577,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2005,Emissions (thousand metric tons of carbon dioxide),1382217,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2010,Emissions (thousand metric tons of carbon dioxide),1571772,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2015,Emissions (thousand metric tons of carbon dioxide),1693344,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2019,Emissions (thousand metric tons of carbon dioxide),1586770,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2020,Emissions (thousand metric tons of carbon dioxide),1425855,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2021,Emissions (thousand metric tons of carbon dioxide),1558039,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1975,Emissions per capita (Kilograms of carbon dioxide),1.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1985,Emissions per capita (Kilograms of carbon dioxide),2.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2005,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2010,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2015,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2019,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2020,Emissions per capita (Kilograms of carbon dioxide),2.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2021,Emissions per capita (Kilograms of carbon dioxide),2.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1975,Emissions (thousand metric tons of carbon dioxide),2952175,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1985,Emissions (thousand metric tons of carbon dioxide),4570899,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2005,Emissions (thousand metric tons of carbon dioxide),11582788,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2010,Emissions (thousand metric tons of carbon dioxide),15367335,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2015,Emissions (thousand metric tons of carbon dioxide),17459382,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2019,Emissions (thousand metric tons of carbon dioxide),19075252,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2020,Emissions (thousand metric tons of carbon dioxide),18681571,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2021,Emissions (thousand metric tons of carbon dioxide),19692081,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1975,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1985,Emissions per capita (Kilograms of carbon dioxide),1.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
